event_id,player_id,player_name,competition,match_id,match_date_utc,match_label,team_id,team_name,opponent_name,match_period,event_sec,event_name,sub_event_name,start_x,start_y,end_x,end_y,tag_ids,tag_labels
185687118,3310,Marcelo Vieira da Silva Júnior,Spain,2565571,2017-09-09 11:00:00,"Real Madrid - Levante, 1 - 1",675,Real Madrid,Levante,1H,2542.031137,Pass,Cross,94,13,95,55,302|401|801|1801,keyPass|Left|high|accurate
185687589,3310,Marcelo Vieira da Silva Júnior,Spain,2565571,2017-09-09 11:00:00,"Real Madrid - Levante, 1 - 1",675,Real Madrid,Levante,2H,1131.6659410000002,Pass,Cross,87,9,92,35,401|801|1802,Left|high|not accurate
185687755,3310,Marcelo Vieira da Silva Júnior,Spain,2565571,2017-09-09 11:00:00,"Real Madrid - Levante, 1 - 1",675,Real Madrid,Levante,2H,1570.453896,Pass,Cross,98,29,92,47,401|1802,Left|not accurate
185687904,3310,Marcelo Vieira da Silva Júnior,Spain,2565571,2017-09-09 11:00:00,"Real Madrid - Levante, 1 - 1",675,Real Madrid,Levante,2H,2230.5856649999996,Pass,Cross,83,13,25,0,401|801|1802,Left|high|not accurate
189338720,3310,Marcelo Vieira da Silva Júnior,Spain,2565596,2017-09-20 20:00:00,"Real Madrid - Real Betis, 0 - 1",675,Real Madrid,Real Betis,1H,2193.409177,Pass,Cross,78,15,91,48,302|402|801|1801,keyPass|Right|high|accurate
189339090,3310,Marcelo Vieira da Silva Júnior,Spain,2565596,2017-09-20 20:00:00,"Real Madrid - Real Betis, 0 - 1",675,Real Madrid,Real Betis,2H,547.3320829999998,Pass,Cross,79,8,87,73,401|801|1801,Left|high|accurate
196262921,3310,Marcelo Vieira da Silva Júnior,Spain,2565619,2017-10-14 14:15:00,"Getafe - Real Madrid, 1 - 2",675,Real Madrid,Getafe,1H,172.27529900000002,Pass,Cross,76,18,94,54,401|801|1801,Left|high|accurate
196263079,3310,Marcelo Vieira da Silva Júnior,Spain,2565619,2017-10-14 14:15:00,"Getafe - Real Madrid, 1 - 2",675,Real Madrid,Getafe,1H,599.035262,Pass,Cross,75,5,88,57,402|801|1801,Right|high|accurate
198903403,3310,Marcelo Vieira da Silva Júnior,Spain,2565633,2017-10-22 18:45:00,"Real Madrid - Eibar, 3 - 0",675,Real Madrid,Eibar,2H,1994.1674970000004,Pass,Cross,91,34,97,66,302|402|801|1801,keyPass|Right|high|accurate
201109865,3310,Marcelo Vieira da Silva Júnior,Spain,2565644,2017-10-29 15:15:00,"Girona - Real Madrid, 2 - 1",675,Real Madrid,Girona,1H,589.287098,Pass,Cross,88,10,100,100,401|2101|1802,Left|blocked|not accurate
201109956,3310,Marcelo Vieira da Silva Júnior,Spain,2565644,2017-10-29 15:15:00,"Girona - Real Madrid, 2 - 1",675,Real Madrid,Girona,1H,910.122519,Pass,Cross,78,15,100,100,401|2101|1802,Left|blocked|not accurate
203305092,3310,Marcelo Vieira da Silva Júnior,Spain,2565657,2017-11-05 19:45:00,"Real Madrid - Las Palmas, 3 - 0",675,Real Madrid,Las Palmas,1H,1083.221918,Pass,Cross,89,10,91,53,401|801|1801,Left|high|accurate
203305107,3310,Marcelo Vieira da Silva Júnior,Spain,2565657,2017-11-05 19:45:00,"Real Madrid - Las Palmas, 3 - 0",675,Real Madrid,Las Palmas,1H,1134.18486,Pass,Cross,82,7,0,0,401|2101|1802,Left|blocked|not accurate
203305209,3310,Marcelo Vieira da Silva Júnior,Spain,2565657,2017-11-05 19:45:00,"Real Madrid - Las Palmas, 3 - 0",675,Real Madrid,Las Palmas,1H,1584.30653,Pass,Cross,87,9,86,61,401|801|1801,Left|high|accurate
203305323,3310,Marcelo Vieira da Silva Júnior,Spain,2565657,2017-11-05 19:45:00,"Real Madrid - Las Palmas, 3 - 0",675,Real Madrid,Las Palmas,1H,1881.653819,Pass,Cross,93,14,89,43,401|801|1802,Left|high|not accurate
203305384,3310,Marcelo Vieira da Silva Júnior,Spain,2565657,2017-11-05 19:45:00,"Real Madrid - Las Palmas, 3 - 0",675,Real Madrid,Las Palmas,1H,2087.46648,Pass,Cross,94,12,92,44,302|401|801|1801,keyPass|Left|high|accurate
203305708,3310,Marcelo Vieira da Silva Júnior,Spain,2565657,2017-11-05 19:45:00,"Real Madrid - Las Palmas, 3 - 0",675,Real Madrid,Las Palmas,2H,210.62149200000022,Pass,Cross,91,9,90,37,401|801|1801,Left|high|accurate
203305920,3310,Marcelo Vieira da Silva Júnior,Spain,2565657,2017-11-05 19:45:00,"Real Madrid - Las Palmas, 3 - 0",675,Real Madrid,Las Palmas,2H,822.5046609999999,Pass,Cross,85,14,93,55,401|801|1802,Left|high|not accurate
206836715,3310,Marcelo Vieira da Silva Júnior,Spain,2565664,2017-11-18 19:45:00,"Atl\u00e9tico Madrid - Real Madrid, 0 - 0",675,Real Madrid,Atl\u00e9tico Madrid,1H,375.923679,Pass,Cross,95,26,98,43,401|1802,Left|not accurate
206837060,3310,Marcelo Vieira da Silva Júnior,Spain,2565664,2017-11-18 19:45:00,"Atl\u00e9tico Madrid - Real Madrid, 0 - 0",675,Real Madrid,Atl\u00e9tico Madrid,1H,1608.827097,Pass,Cross,86,7,96,43,401|1802,Left|not accurate
206837131,3310,Marcelo Vieira da Silva Júnior,Spain,2565664,2017-11-18 19:45:00,"Atl\u00e9tico Madrid - Real Madrid, 0 - 0",675,Real Madrid,Atl\u00e9tico Madrid,1H,1834.882737,Pass,Cross,89,27,93,45,401|1802,Left|not accurate
206837316,3310,Marcelo Vieira da Silva Júnior,Spain,2565664,2017-11-18 19:45:00,"Atl\u00e9tico Madrid - Real Madrid, 0 - 0",675,Real Madrid,Atl\u00e9tico Madrid,1H,2668.675602,Pass,Cross,98,27,94,45,401|1802,Left|not accurate
206837570,3310,Marcelo Vieira da Silva Júnior,Spain,2565664,2017-11-18 19:45:00,"Atl\u00e9tico Madrid - Real Madrid, 0 - 0",675,Real Madrid,Atl\u00e9tico Madrid,2H,377.7272429999998,Pass,Cross,79,19,91,45,401|801|1801,Left|high|accurate
206837711,3310,Marcelo Vieira da Silva Júnior,Spain,2565664,2017-11-18 19:45:00,"Atl\u00e9tico Madrid - Real Madrid, 0 - 0",675,Real Madrid,Atl\u00e9tico Madrid,2H,773.030342,Pass,Cross,87,14,100,100,401|2101|1802,Left|blocked|not accurate
